Carregando dados de treinamento...
Carregando dados de validação...
Features no treinamento: 20
Amostras de treinamento: 2671
Features na validação:   20
Amostras de validação:   339

[Run 1/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 29/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 30/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 31/1000] Treinando... F1-base = 73.6111% | Acc = 88.7906%
[Run 32/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 33/1000] Treinando... F1-base = 73.4694% | Acc = 88.4956%
[Run 34/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 35/1000] Treinando... F1-base = 76.3158% | Acc = 89.3805%
[Run 36/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 37/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 38/1000] Treinando... F1-base = 73.3333% | Acc = 88.2006%
[Run 39/1000] Treinando... F1-base = 77.2414% | Acc = 90.2655%
[Run 40/1000] Treinando... F1-base = 73.9726% | Acc = 88.7906%
[Run 41/1000] Treinando... F1-base = 75.3425% | Acc = 89.3805%
[Run 42/1000] Treinando... F1-base = 73.4694% | Acc = 88.4956%
[Run 43/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 44/1000] Treinando... F1-base = 72.6027% | Acc = 88.2006%
[Run 45/1000] Treinando... F1-base = 73.6842% | Acc = 88.2006%
[Run 46/1000] Treinando... F1-base = 74.1722% | Acc = 88.4956%
[Run 47/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 48/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 49/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 50/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 51/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 52/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 53/1000] Treinando... F1-base = 78.3784% | Acc = 90.5605%
[Run 54/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 55/1000] Treinando... F1-base = 74.1722% | Acc = 88.4956%
[Run 56/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 57/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 58/1000] Treinando... F1-base = 72.973% | Acc = 88.2006%
[Run 59/1000] Treinando... F1-base = 76.7123% | Acc = 89.9705%
[Run 60/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 61/1000] Treinando... F1-base = 75.8621% | Acc = 89.6755%
[Run 62/1000] Treinando... F1-base = 73.3333% | Acc = 88.2006%
[Run 63/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 64/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 65/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 66/1000] Treinando... F1-base = 75.3247% | Acc = 88.7906%
[Run 67/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 68/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 69/1000] Treinando... F1-base = 72.973% | Acc = 88.2006%
[Run 70/1000] Treinando... F1-base = 74.026% | Acc = 88.2006%
[Run 71/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 72/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 73/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 74/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 75/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 76/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 77/1000] Treinando... F1-base = 73.9726% | Acc = 88.7906%
[Run 78/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 79/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 80/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 81/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 82/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 83/1000] Treinando... F1-base = 74.1722% | Acc = 88.4956%
[Run 84/1000] Treinando... F1-base = 72.8477% | Acc = 87.9056%
[Run 85/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 86/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 87/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 88/1000] Treinando... F1-base = 76.7123% | Acc = 89.9705%
[Run 89/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 90/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 91/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 92/1000] Treinando... F1-base = 75% | Acc = 89.3805%
[Run 93/1000] Treinando... F1-base = 77.551% | Acc = 90.2655%
[Run 94/1000] Treinando... F1-base = 75% | Acc = 88.7906%
[Run 95/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 96/1000] Treinando... F1-base = 72.973% | Acc = 88.2006%
[Run 97/1000] Treinando... F1-base = 73.9726% | Acc = 88.7906%
[Run 98/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 99/1000] Treinando... F1-base = 74.1722% | Acc = 88.4956%
[Run 100/1000] Treinando... F1-base = 75.3425% | Acc = 89.3805%
[Run 101/1000] Treinando... F1-base = 73.9726% | Acc = 88.7906%
[Run 102/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 103/1000] Treinando... F1-base = 74.026% | Acc = 88.2006%
[Run 104/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 105/1000] Treinando... F1-base = 72.4832% | Acc = 87.9056%
[Run 106/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 107/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 108/1000] Treinando... F1-base = 71.2329% | Acc = 87.6106%
[Run 109/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 110/1000] Treinando... F1-base = 75% | Acc = 88.7906%
[Run 111/1000] Treinando... F1-base = 75.817% | Acc = 89.0855%
[Run 112/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 113/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 114/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 115/1000] Treinando... F1-base = 72.4832% | Acc = 87.9056%
[Run 116/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 117/1000] Treinando... F1-base = 72.7273% | Acc = 87.6106%
[Run 118/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 119/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 120/1000] Treinando... F1-base = 72.6027% | Acc = 88.2006%
[Run 121/1000] Treinando... F1-base = 73.9726% | Acc = 88.7906%
[Run 122/1000] Treinando... F1-base = 74.1722% | Acc = 88.4956%
[Run 123/1000] Treinando... F1-base = 72.1088% | Acc = 87.9056%
[Run 124/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 125/1000] Treinando... F1-base = 77.551% | Acc = 90.2655%
[Run 126/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 127/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 128/1000] Treinando... F1-base = 74.1722% | Acc = 88.4956%
[Run 129/1000] Treinando... F1-base = 75% | Acc = 88.7906%
[Run 130/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 131/1000] Treinando... F1-base = 73.6111% | Acc = 88.7906%
[Run 132/1000] Treinando... F1-base = 73.6842% | Acc = 88.2006%
[Run 133/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 134/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 135/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 136/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 137/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 138/1000] Treinando... F1-base = 77.551% | Acc = 90.2655%
[Run 139/1000] Treinando... F1-base = 76.3889% | Acc = 89.9705%
[Run 140/1000] Treinando... F1-base = 73.3333% | Acc = 88.2006%
[Run 141/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 142/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 143/1000] Treinando... F1-base = 78.3784% | Acc = 90.5605%
[Run 144/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 145/1000] Treinando... F1-base = 73.1034% | Acc = 88.4956%
[Run 146/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 147/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 148/1000] Treinando... F1-base = 74.4828% | Acc = 89.0855%
[Run 149/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 150/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 151/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 152/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 153/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 154/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 155/1000] Treinando... F1-base = 73.9726% | Acc = 88.7906%
[Run 156/1000] Treinando... F1-base = 73.9726% | Acc = 88.7906%
[Run 157/1000] Treinando... F1-base = 75% | Acc = 88.7906%
[Run 158/1000] Treinando... F1-base = 75% | Acc = 88.7906%
[Run 159/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 160/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 161/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 162/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 163/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 164/1000] Treinando... F1-base = 73.6842% | Acc = 88.2006%
[Run 165/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 166/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 167/1000] Treinando... F1-base = 71.6216% | Acc = 87.6106%
[Run 168/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 169/1000] Treinando... F1-base = 74.1722% | Acc = 88.4956%
[Run 170/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 171/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 172/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 173/1000] Treinando... F1-base = 74.5098% | Acc = 88.4956%
[Run 174/1000] Treinando... F1-base = 77.551% | Acc = 90.2655%
[Run 175/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 176/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 177/1000] Treinando... F1-base = 72.6027% | Acc = 88.2006%
[Run 178/1000] Treinando... F1-base = 76.7123% | Acc = 89.9705%
[Run 179/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 180/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 181/1000] Treinando... F1-base = 72.1088% | Acc = 87.9056%
[Run 182/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 183/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 184/1000] Treinando... F1-base = 73.3333% | Acc = 88.2006%
[Run 185/1000] Treinando... F1-base = 75% | Acc = 88.7906%
[Run 186/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 187/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 188/1000] Treinando... F1-base = 72% | Acc = 87.6106%
[Run 189/1000] Treinando... F1-base = 73.9726% | Acc = 88.7906%
[Run 190/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 191/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 192/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 193/1000] Treinando... F1-base = 73.9726% | Acc = 88.7906%
[Run 194/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 195/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 196/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 197/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 198/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 199/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 200/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 201/1000] Treinando... F1-base = 74.1722% | Acc = 88.4956%
[Run 202/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 203/1000] Treinando... F1-base = 73.3333% | Acc = 88.2006%
[Run 204/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 205/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 206/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 207/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 208/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 209/1000] Treinando... F1-base = 76.7123% | Acc = 89.9705%
[Run 210/1000] Treinando... F1-base = 74.4828% | Acc = 89.0855%
[Run 211/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 212/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 213/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 214/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 215/1000] Treinando... F1-base = 74.1722% | Acc = 88.4956%
[Run 216/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 217/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 218/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 219/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 220/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 221/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 222/1000] Treinando... F1-base = 74.4828% | Acc = 89.0855%
[Run 223/1000] Treinando... F1-base = 74.5098% | Acc = 88.4956%
[Run 224/1000] Treinando... F1-base = 77.551% | Acc = 90.2655%
[Run 225/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 226/1000] Treinando... F1-base = 75% | Acc = 89.3805%
[Run 227/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 228/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 229/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 230/1000] Treinando... F1-base = 74.026% | Acc = 88.2006%
[Run 231/1000] Treinando... F1-base = 74.4828% | Acc = 89.0855%
[Run 232/1000] Treinando... F1-base = 74.1722% | Acc = 88.4956%
[Run 233/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 234/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 235/1000] Treinando... F1-base = 73.9726% | Acc = 88.7906%
[Run 236/1000] Treinando... F1-base = 72.973% | Acc = 88.2006%
[Run 237/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 238/1000] Treinando... F1-base = 77.551% | Acc = 90.2655%
[Run 239/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 240/1000] Treinando... F1-base = 72.7273% | Acc = 88.4956%
[Run 241/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 242/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 243/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 244/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 245/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 246/1000] Treinando... F1-base = 75% | Acc = 88.7906%
[Run 247/1000] Treinando... F1-base = 74.4828% | Acc = 89.0855%
[Run 248/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 249/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 250/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 251/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 252/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 253/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 254/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 255/1000] Treinando... F1-base = 72.4832% | Acc = 87.9056%
[Run 256/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 257/1000] Treinando... F1-base = 73.4694% | Acc = 88.4956%
[Run 258/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 259/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 260/1000] Treinando... F1-base = 73.9726% | Acc = 88.7906%
[Run 261/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 262/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 263/1000] Treinando... F1-base = 75.3425% | Acc = 89.3805%
[Run 264/1000] Treinando... F1-base = 74.4828% | Acc = 89.0855%
[Run 265/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 266/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 267/1000] Treinando... F1-base = 73.9726% | Acc = 88.7906%
[Run 268/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 269/1000] Treinando... F1-base = 75.5245% | Acc = 89.6755%
[Run 270/1000] Treinando... F1-base = 76.7123% | Acc = 89.9705%
[Run 271/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 272/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 273/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 274/1000] Treinando... F1-base = 73.6111% | Acc = 88.7906%
[Run 275/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 276/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 277/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 278/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 279/1000] Treinando... F1-base = 73.4694% | Acc = 88.4956%
[Run 280/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 281/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 282/1000] Treinando... F1-base = 75.8621% | Acc = 89.6755%
[Run 283/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 284/1000] Treinando... F1-base = 76.3158% | Acc = 89.3805%
[Run 285/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 286/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 287/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 288/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 289/1000] Treinando... F1-base = 72.973% | Acc = 88.2006%
[Run 290/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 291/1000] Treinando... F1-base = 74.1722% | Acc = 88.4956%
[Run 292/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 293/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 294/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 295/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 296/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 297/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 298/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 299/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 300/1000] Treinando... F1-base = 73.9726% | Acc = 88.7906%
[Run 301/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 302/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 303/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 304/1000] Treinando... F1-base = 72.8477% | Acc = 87.9056%
[Run 305/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 306/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 307/1000] Treinando... F1-base = 73.4694% | Acc = 88.4956%
[Run 308/1000] Treinando... F1-base = 71.5232% | Acc = 87.3156%
[Run 309/1000] Treinando... F1-base = 72.8477% | Acc = 87.9056%
[Run 310/1000] Treinando... F1-base = 72.973% | Acc = 88.2006%
[Run 311/1000] Treinando... F1-base = 72.973% | Acc = 88.2006%
[Run 312/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 313/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 314/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 315/1000] Treinando... F1-base = 72.4832% | Acc = 87.9056%
[Run 316/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 317/1000] Treinando... F1-base = 77.8523% | Acc = 90.2655%
[Run 318/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 319/1000] Treinando... F1-base = 75.3425% | Acc = 89.3805%
[Run 320/1000] Treinando... F1-base = 73.3333% | Acc = 88.2006%
[Run 321/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 322/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 323/1000] Treinando... F1-base = 74.026% | Acc = 88.2006%
[Run 324/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 325/1000] Treinando... F1-base = 75.3425% | Acc = 89.3805%
[Run 326/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 327/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 328/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 329/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 330/1000] Treinando... F1-base = 73.4694% | Acc = 88.4956%
[Run 331/1000] Treinando... F1-base = 73.9726% | Acc = 88.7906%
[Run 332/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 333/1000] Treinando... F1-base = 72.6027% | Acc = 88.2006%
[Run 334/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 335/1000] Treinando... F1-base = 76.7123% | Acc = 89.9705%
[Run 336/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 337/1000] Treinando... F1-base = 73.3333% | Acc = 88.2006%
[Run 338/1000] Treinando... F1-base = 72.8477% | Acc = 87.9056%
[Run 339/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 340/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 341/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 342/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 343/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 344/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 345/1000] Treinando... F1-base = 76.3158% | Acc = 89.3805%
[Run 346/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 347/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 348/1000] Treinando... F1-base = 72.6027% | Acc = 88.2006%
[Run 349/1000] Treinando... F1-base = 74.4828% | Acc = 89.0855%
[Run 350/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 351/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 352/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 353/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 354/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 355/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 356/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 357/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 358/1000] Treinando... F1-base = 72.8477% | Acc = 87.9056%
[Run 359/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 360/1000] Treinando... F1-base = 72.973% | Acc = 88.2006%
[Run 361/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 362/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 363/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 364/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 365/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 366/1000] Treinando... F1-base = 75.3425% | Acc = 89.3805%
[Run 367/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 368/1000] Treinando... F1-base = 75% | Acc = 88.7906%
[Run 369/1000] Treinando... F1-base = 72.973% | Acc = 88.2006%
[Run 370/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 371/1000] Treinando... F1-base = 75.3425% | Acc = 89.3805%
[Run 372/1000] Treinando... F1-base = 73.4694% | Acc = 88.4956%
[Run 373/1000] Treinando... F1-base = 75.3425% | Acc = 89.3805%
[Run 374/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 375/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 376/1000] Treinando... F1-base = 73.3333% | Acc = 88.2006%
