Date_x,Date_y,MinTemp,MaxTemp,RainFall,Evaporation,Sunshine,WindGustDir_x,WindGustDir_y,WindGustSpeed,WindDir9am_x,WindDir9am_y,WindDir3pm_x,WindDir3pm_y,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
0.726608,0.687053,20.3,32.5,0.2,5.4,12.3,6.12323e-17,1,31,-1,1.22465e-16,6.12323e-17,1,9,17,56,49,1008.9,1006.1,3,1,27.2,31.1,0
0.714673,0.699458,20.9,34.3,0,9.2,12.5,0.382683,0.92388,28,-0.707107,-0.707107,-0.382683,0.92388,7,13,60,49,1010.1,1007,2,1,27.6,32.5,0
0.702527,0.711657,21.3,36,0,8.6,11.3,0.707107,0.707107,26,-0.382683,-0.92388,0.382683,0.92388,4,13,66,51,1008.9,1004.5,2,2,27.8,32.7,0
0.690173,0.723644,24.9,33.8,0,6.6,9.5,6.12323e-17,1,33,-0.707107,0.707107,0.382683,0.92388,7,15,63,57,1008.1,1005.5,7,2,28.9,30.5,0
0.677615,0.735417,24.6,32.6,0,8.6,11.8,0.707107,0.707107,30,0.92388,0.382683,0.707107,0.707107,7,13,60,57,1008.6,1005.2,4,1,30,31.1,0
0.664855,0.746972,26,32.7,0.4,9.6,7.8,0.707107,0.707107,28,0.707107,0.707107,0.707107,0.707107,9,11,75,63,1013.4,1010.9,7,6,27.7,30.7,0
0.651899,0.758306,22.2,32.3,3.6,8.2,11.2,6.12323e-17,1,28,0.707107,-0.707107,0.707107,0.707107,2,13,65,55,1017.3,1014.9,5,1,27.7,30.1,1
0.638749,0.769415,22.3,31.8,0,8,11.9,-0.707107,0.707107,44,-0.382683,0.92388,-0.382683,0.92388,11,17,59,42,1020.9,1019.1,3,2,28.2,30.3,0
0.625411,0.780296,21.2,31.8,0.2,10.2,12,6.12323e-17,1,41,-0.707107,0.707107,-0.382683,0.92388,11,15,56,47,1022.6,1019.2,4,5,27.1,29.7,0
0.611886,0.790946,20.5,31.7,0,10.6,12,6.12323e-17,1,35,-0.707107,0.707107,-0.382683,0.92388,15,11,57,47,1019.5,1016.2,6,3,27.2,29.6,0
0.598181,0.801361,20.1,32,0,8.8,12,6.12323e-17,1,24,-0.382683,0.92388,0.382683,0.92388,7,11,57,46,1017.9,1014.5,2,1,26,29.6,0
0.584298,0.811539,19.8,31.9,0,8,12,0.707107,0.707107,24,-0.382683,0.92388,0.707107,0.707107,2,11,55,50,1016.4,1013.1,3,1,26.6,30,0
0.570242,0.821477,20.5,32.8,0,8,11.7,6.12323e-17,1,24,0.382683,-0.92388,0.382683,0.92388,7,11,62,49,1012.7,1008.3,2,1,26.7,31.9,0
0.556017,0.831171,21.2,35.5,0,8.6,12.1,6.12323e-17,1,31,-0.707107,0.707107,-0.382683,0.92388,11,17,46,37,1013.2,1009.6,2,1,29.5,33.7,0
0.541628,0.840618,23,32.9,0,11.2,11.1,-0.92388,0.382683,33,-0.92388,-0.382683,-0.382683,0.92388,7,13,60,53,1014.7,1011.4,6,3,28.6,30.7,0
0.512371,0.858764,22.1,30.5,0.4,8.5,8.1,6.12323e-17,1,30,-0.92388,0.382683,-0.92388,0.382683,7,11,72,88,1018.5,1016.9,5,6,27,24.8,0
0.497513,0.867456,21.2,29.8,20.8,9,10.3,6.12323e-17,1,30,-0.92388,-0.382683,0.382683,0.92388,2,15,74,64,1019.9,1017.8,7,3,26.4,28.9,1
0.482508,0.875892,21.8,30.3,6.6,6.4,11,0.707107,0.707107,30,0.382683,0.92388,0.382683,0.92388,9,15,63,51,1021.3,1018.7,6,1,26.8,29.1,1
0.467359,0.884068,20.7,29.9,0.4,8.4,11.1,6.12323e-17,1,33,-0.382683,0.92388,6.12323e-17,1,4,11,66,44,1021.2,1017.8,4,2,25.7,29.7,0
0.452072,0.891981,20.5,28.6,0,9.2,4.9,-0.707107,0.707107,26,-0.707107,0.707107,-0.707107,0.707107,9,15,65,62,1020.8,1018.3,7,7,25.9,26.7,0
0.436651,0.899631,19.6,30.5,1.8,5.6,10,6.12323e-17,1,26,-1.83697e-16,-1,6.12323e-17,1,6,11,69,54,1021.4,1018.3,6,4,25.4,29,1
0.421101,0.907014,20.9,30.4,3.2,6,5.8,6.12323e-17,1,33,-1,1.22465e-16,6.12323e-17,1,4,13,77,55,1021,1018.6,7,7,25.4,27.7,1
0.405426,0.914128,21.4,30.1,1.2,7.4,8.7,6.12323e-17,1,28,-0.92388,-0.382683,6.12323e-17,1,4,13,77,62,1020,1018.3,6,3,25.9,28.7,1
0.38963,0.920971,22.1,27.2,6.2,5.2,3.3,6.12323e-17,1,30,6.12323e-17,1,6.12323e-17,1,9,15,84,73,1021.8,1019.4,6,7,25.1,26,1
0.37372,0.927542,20.4,30.9,6.8,4.2,7.8,0.382683,0.92388,31,-1,1.22465e-16,0.382683,0.92388,6,15,68,71,1021,1018.4,7,7,26.8,27.7,1
0.341571,0.939856,21.4,30.8,0,5.2,7.5,-0.707107,0.707107,31,-0.92388,0.382683,-0.707107,0.707107,11,17,64,45,1019.4,1016.6,6,7,27.1,29.6,0
0.325342,0.945596,22.1,28,7,5.8,8.2,6.12323e-17,1,28,-0.382683,-0.92388,6.12323e-17,1,6,11,90,72,1017.9,1015.1,7,6,24.5,27.5,1
0.309017,0.951057,21.6,30,16.4,4,10.1,6.12323e-17,1,26,-0.92388,0.382683,6.12323e-17,1,9,9,67,56,1016.1,1012.8,3,3,27.3,28.8,1
0.2926,0.956235,20.5,31.4,0,7.4,9.1,-0.707107,0.707107,30,-1,1.22465e-16,-0.382683,0.92388,9,15,64,59,1014.4,1011.7,2,2,26.8,29.6,0
0.276097,0.96113,21.4,30.3,1.4,8,9.6,-0.707107,0.707107,31,-1,1.22465e-16,-0.707107,0.707107,6,11,70,60,1014.1,1011.5,6,7,26.5,28.8,1
0.259512,0.96574,21.9,29.3,0.2,7.2,7.9,-0.707107,0.707107,28,-0.707107,0.707107,-0.707107,0.707107,11,11,64,58,1013.2,1009.4,6,4,26.8,27.7,0
0.24285,0.970064,21.3,30.9,0,5.4,11.3,0.382683,0.92388,24,-0.382683,-0.92388,0.382683,0.92388,6,11,68,57,1009.6,1004.6,2,1,26.5,29.6,0
0.226116,0.9741,22,33.5,6.8,7,9.9,-0.707107,0.707107,35,0.382683,-0.92388,6.12323e-17,1,4,17,71,59,1007.9,1005.8,2,5,27.1,29.5,1
0.209315,0.977848,21.2,29.7,0.2,7.6,6.3,-0.707107,0.707107,28,-0.707107,-0.707107,-0.382683,0.92388,6,11,65,56,1012.7,1009.6,5,4,25.1,28.8,0
0.192452,0.981306,21.2,28.9,0,5,6.5,-0.382683,0.92388,31,-1,1.22465e-16,-0.382683,0.92388,7,15,61,55,1012.8,1008.8,2,7,26.4,27.1,0
0.175531,0.984474,19,28.8,0,6.4,10.5,6.12323e-17,1,28,-1,1.22465e-16,-0.382683,0.92388,7,11,57,52,1013.4,1011,1,2,24.6,26.9,0
0.158559,0.987349,19,29.4,0.4,7,10.8,6.12323e-17,1,22,-1,1.22465e-16,0.382683,0.92388,4,13,64,48,1017.5,1014.5,4,2,24.3,27.8,0
0.14154,0.989932,19.9,30.1,2.8,7.2,8.3,0.707107,0.707107,26,-0.92388,-0.382683,0.382683,0.92388,6,11,63,59,1021.4,1017.5,6,3,25.5,27,1
0.124479,0.992222,19.2,30.4,0,4.6,11.1,0.382683,0.92388,22,-0.382683,-0.92388,0.382683,0.92388,2,9,62,49,1020.1,1015.9,2,1,25.5,28.1,0
0.107381,0.994218,19.4,30.8,0,6.4,9.6,0.382683,0.92388,24,-0.707107,-0.707107,0.382683,0.92388,4,13,60,50,1017.7,1013.8,5,5,25.8,29.1,0
0.0730951,0.997325,19.5,28.9,0.4,2,9.9,0.707107,0.707107,20,-0.382683,-0.92388,0.707107,0.707107,7,9,75,59,1019.4,1016.3,3,3,24.4,27.2,0
0.055917,0.998435,19.3,30.7,0.2,4.4,10.8,0.707107,0.707107,20,-0.92388,-0.382683,0.707107,0.707107,6,9,67,53,1019.6,1015.9,1,1,25.9,28.9,0
0.0387223,0.99925,19.5,31.9,0,8,8.3,0.382683,-0.92388,24,1,0,0.707107,0.707107,6,7,60,55,1017.4,1013.5,3,3,26.9,28.5,0
0.0215161,0.999769,20,31.9,26.4,7.2,10.6,6.12323e-17,1,22,-0.707107,-0.707107,6.12323e-17,1,4,7,69,56,1016.8,1013.3,2,2,25.3,29,1
0.00430354,0.999991,19.5,29.5,0,5.4,10.7,0.382683,0.92388,22,-1.83697e-16,-1,6.12323e-17,1,4,13,58,58,1019.6,1016.4,1,4,25.4,27.1,0
-0.0129103,0.999917,19.9,30.4,0,5,10.1,0.382683,0.92388,22,-0.382683,-0.92388,0.707107,0.707107,6,7,69,51,1019.9,1016,2,1,25.3,29.6,0
-0.0301203,0.999546,19.6,30.1,0,5,10.8,6.12323e-17,1,26,-1.83697e-16,-1,-0.382683,0.92388,6,11,68,52,1020.1,1017.9,2,2,25.3,28.5,0
-0.0473214,0.99888,21.4,30,0,7.2,8.6,-0.707107,0.707107,37,-0.92388,0.382683,-0.382683,0.92388,11,17,60,38,1020,1016.4,3,4,26.4,28.7,0
-0.0645084,0.997917,18.9,29.1,0,8,10.7,6.12323e-17,1,33,-0.92388,-0.382683,-0.382683,0.92388,6,15,56,42,1019.7,1016.8,2,2,25.9,27.7,0
-0.0816764,0.996659,18,29.6,0,7,10.8,0.382683,0.92388,20,-0.92388,-0.382683,0.382683,0.92388,6,11,59,50,1021.1,1017.5,1,1,24.8,28.1,0
-0.0988201,0.995105,18.5,30.8,0,4.4,10.2,0.707107,0.707107,22,-0.707107,-0.707107,0.382683,0.92388,4,9,68,48,1020.5,1017,1,3,24.8,28.9,0
-0.115935,0.993257,20.1,29.8,0,7.2,7.1,0.382683,0.92388,17,1,0,0.382683,0.92388,2,7,65,54,1021.5,1018.8,7,6,26.7,28.6,0
-0.133015,0.991114,19.4,30.1,0,4.6,9.5,6.12323e-17,1,20,0.707107,-0.707107,0.382683,0.92388,2,9,72,53,1021.7,1018.9,1,1,25.9,28.4,0
-0.150055,0.988678,19.1,29.7,0,5,9.8,0.382683,0.92388,22,0.382683,-0.92388,0.92388,0.382683,6,9,61,58,1021.1,1017.1,1,1,26.2,28.7,0
-0.167052,0.985948,21.7,30.5,0,5,0.7,-1.83697e-16,-1,19,0.382683,-0.92388,-1,1.22465e-16,2,4,69,44,1017.9,1014.6,8,7,25.8,29,0
-0.183998,0.982927,20.3,27.6,0,3.2,2.5,6.12323e-17,1,24,-0.382683,0.92388,-0.707107,0.707107,13,6,72,57,1019.4,1016.8,7,6,25,26.2,0
-0.200891,0.979614,18.8,28.5,0,4.8,10,-0.92388,0.382683,35,-0.92388,0.382683,-0.382683,0.92388,7,17,59,46,1022.4,1020.7,2,1,25.4,27.1,0
-0.217723,0.976011,18.8,27.3,1.4,7.2,5.1,-0.382683,0.92388,41,-0.92388,0.382683,-0.382683,0.92388,11,17,76,51,1025.4,1023.4,6,6,22.3,25.3,1
-0.234491,0.972118,16.8,26.5,0.6,6.4,6.1,-0.382683,0.92388,28,-0.92388,-0.382683,-1.83697e-16,-1,7,4,55,68,1024.7,1021.3,2,7,22.8,23,0
-0.25119,0.967938,15.9,27.3,0.4,4.2,6.3,-0.382683,0.92388,19,-0.707107,-0.707107,6.12323e-17,1,6,11,59,56,1020.7,1017.1,6,7,22.7,24.9,0
-0.267814,0.963471,17.6,28.2,0,3.8,7.4,0.382683,0.92388,24,-0.382683,-0.92388,6.12323e-17,1,6,11,69,52,1019.4,1015.5,6,5,22,26.5,0
-0.284359,0.958718,17.6,28.3,0,3,10.4,6.12323e-17,1,22,-0.92388,-0.382683,6.12323e-17,1,6,9,59,55,1018.7,1015.3,1,3,24.3,25.4,0
-0.30082,0.953681,17.7,28.7,0,6.4,9.1,6.12323e-17,1,20,-0.707107,-0.707107,0.382683,0.92388,6,7,61,56,1020.3,1017.5,6,7,23.6,26,0
-0.317191,0.948362,17.2,30.1,0,4,9.8,6.12323e-17,1,24,-0.382683,-0.92388,6.12323e-17,1,7,11,64,57,1022,1019.2,1,2,23.3,26.7,0
-0.333469,0.942761,17.9,27.7,0,5.2,6.5,-0.707107,0.707107,20,-0.382683,-0.92388,-0.92388,0.382683,6,7,66,81,1022.1,1018.6,5,7,23.7,22.7,0
-0.349647,0.936881,18.5,30.4,4,3.4,10.2,0.382683,0.92388,19,-0.92388,-0.382683,0.382683,0.92388,6,9,69,55,1019.9,1015.3,1,1,23.9,28.2,1
-0.365723,0.930724,19.1,30.1,0,5.2,9.4,-0.382683,0.92388,22,-0.382683,-0.92388,6.12323e-17,1,6,11,66,51,1018,1015.2,1,3,24.1,27.1,0
-0.381689,0.924291,18.6,28.4,0,6.2,9.7,-0.92388,0.382683,41,-0.92388,-0.382683,-0.707107,0.707107,7,7,45,42,1021,1019.9,1,2,23.9,26,0
-0.397543,0.917584,16.7,27.6,0,9,8.1,-0.92388,0.382683,48,-0.92388,-0.382683,-0.707107,0.707107,9,17,55,53,1024.4,1022.6,2,7,23.1,24,0
-0.413279,0.910605,17.2,26.9,1.8,5.4,7.5,-0.382683,0.92388,44,-1,1.22465e-16,-0.382683,0.92388,4,13,65,54,1024.7,1022.7,5,4,23,25.2,1
-0.428892,0.903356,17.5,27.1,0,5.4,5.3,-0.382683,0.92388,31,-0.707107,0.707107,-0.382683,0.92388,9,9,57,64,1024.2,1021.3,3,7,24.2,24.3,0
-0.444378,0.895839,17.3,28.3,1.4,4,6.6,0.382683,0.92388,26,-1.83697e-16,-1,6.12323e-17,1,7,6,76,70,1024,1021.6,7,7,22.6,23.9,1
-0.459733,0.888057,17.3,25.6,0.6,4.4,0.7,6.12323e-17,1,20,-0.92388,-0.382683,6.12323e-17,1,2,9,85,74,1024.5,1020.3,7,7,19.5,23.9,0
-0.474951,0.880012,19.4,29.3,2.6,0,5.9,0.382683,0.92388,19,-1.83697e-16,-1,0.382683,0.92388,6,11,79,61,1022,1018,7,4,23.5,27.4,1
-0.490029,0.871706,21.9,24.6,1.4,3.8,0.8,6.12323e-17,1,15,-0.92388,0.382683,-1.83697e-16,-1,4,4,92,88,1019.6,1015.6,7,7,22.4,22.8,1
-0.504961,0.863142,19.3,27.4,15,1.2,3.6,6.12323e-17,1,17,-0.382683,-0.92388,6.12323e-17,1,4,9,88,69,1017.1,1013.2,7,7,22.1,25.9,1
-0.519744,0.854322,19.2,29.6,10.6,3.4,8,0.707107,-0.707107,19,-0.707107,-0.707107,-1.83697e-16,-1,4,7,79,47,1014.5,1010.2,6,3,23.6,29.3,1
-0.534373,0.845249,17.4,28.9,0,2.8,9.1,-0.382683,0.92388,26,-0.382683,-0.92388,0.382683,0.92388,6,11,58,46,1017,1014.4,2,1,22.7,26.1,0
-0.548843,0.835925,16,28,0,5.2,10.1,0.382683,0.92388,24,-0.382683,-0.92388,6.12323e-17,1,6,9,69,51,1021,1017.5,1,1,20.9,26.3,0
-0.563151,0.826354,16.4,28.5,0,4,9.8,0.707107,0.707107,19,-0.92388,-0.382683,0.382683,0.92388,6,7,74,56,1020.1,1016.9,5,4,21.6,26.2,0
-0.577292,0.816538,17.1,27.7,0,4.6,8.8,-0.382683,0.92388,24,-0.92388,-0.382683,6.12323e-17,1,6,11,74,48,1020.5,1017.5,3,2,21.9,25.1,0
-0.591261,0.80648,16.1,27.3,0,4,10.2,0.382683,0.92388,20,-0.707107,-0.707107,0.382683,0.92388,4,9,67,59,1019.9,1015.9,3,4,21.9,26,0
-0.605056,0.796183,18.1,28.2,0.6,3.2,9.1,1,0,24,-0.707107,-0.707107,0.707107,0.707107,4,11,85,66,1016.3,1012.3,7,7,20.9,25.8,0
-0.618671,0.78565,20.9,28.4,0,4.6,2.7,-1.83697e-16,-1,30,0.92388,0.382683,-1.83697e-16,-1,2,11,73,55,1012,1010,7,6,24.3,26.6,0
-0.632103,0.774884,18.6,25.6,0,6.2,3.2,-0.382683,-0.92388,19,-0.382683,-0.92388,-0.707107,0.707107,7,6,57,27,1017.1,1015.8,7,5,19.8,24.3,0
-0.645348,0.763889,9.3,26.4,0,4,10.5,0.382683,-0.92388,28,-0.382683,-0.92388,-1.83697e-16,-1,9,15,36,24,1019.2,1016.8,0,0,19.7,25.6,0
-0.658402,0.752667,12,27,0,7.4,10,-0.92388,-0.382683,17,-0.707107,-0.707107,0.382683,0.92388,6,9,48,45,1022.8,1020.3,1,1,20.3,25.4,0
-0.67126,0.741222,14.7,26.9,0,4,9.6,0.382683,0.92388,19,-0.707107,-0.707107,0.707107,0.707107,6,6,71,47,1023.9,1020.8,1,1,20,25.8,0
-0.683919,0.729558,13.6,27.3,0,2.6,10.1,0.382683,0.92388,19,-0.92388,-0.382683,0.707107,0.707107,6,7,75,39,1022,1017.5,1,1,19.7,25.8,0
-0.696376,0.717677,13.1,28.1,0,3,9.9,0.707107,0.707107,17,-1.83697e-16,-1,0.707107,0.707107,6,9,65,39,1021,1018.4,4,1,18.7,25.9,0
-0.708627,0.705584,14.6,28,0,4.6,9.9,0.707107,0.707107,17,-0.707107,-0.707107,0.707107,0.707107,4,7,70,51,1021.2,1017,3,5,20.5,26.4,0
-0.720667,0.693281,14.3,27.7,0,3.2,9.8,0.382683,0.92388,19,-0.92388,-0.382683,0.707107,0.707107,2,11,71,50,1019,1015.4,2,3,20.9,26.1,0
-0.732494,0.680773,15.8,27.7,0,2.4,7.1,-0.92388,-0.382683,19,-0.707107,-0.707107,-0.92388,-0.382683,2,4,76,48,1018.1,1013.9,6,7,19.8,26.1,0
-0.744104,0.668064,13,29.2,0,4,10,-1.83697e-16,-1,19,-0.92388,-0.382683,0.707107,0.707107,6,9,41,29,1019.8,1017.1,0,1,21.3,26.9,0
-0.755493,0.655156,14.9,26.6,0,4.8,8.6,6.12323e-17,1,26,-0.92388,-0.382683,-0.707107,0.707107,6,11,59,57,1025.7,1022.1,2,7,21.3,24.4,0
-0.766659,0.642055,17.6,26.5,0,3.8,6.7,0.382683,0.92388,19,-1,1.22465e-16,0.92388,0.382683,4,7,67,52,1024.6,1021.3,6,1,21.1,25.2,0
-0.777597,0.628763,14.7,28.1,0,3.2,8.8,0.707107,0.707107,19,-0.92388,-0.382683,0.92388,0.382683,2,6,72,47,1020.9,1015,4,2,20.4,27.3,0
-0.788305,0.615285,15.6,27.4,0,4,9.7,0.707107,0.707107,19,-1,1.22465e-16,0.92388,0.382683,6,7,54,34,1018,1015,1,1,22.4,25.3,0
-0.798779,0.601624,11.7,25.6,0,5.4,10,0.707107,0.707107,17,-0.92388,-0.382683,0.382683,0.92388,4,7,38,22,1018.3,1015.4,1,2,17.9,24.6,0
-0.819015,0.573772,16.8,25.6,0,3.6,8.5,-1.83697e-16,-1,46,0.382683,-0.92388,-1.83697e-16,-1,17,20,62,38,1008.6,1006.2,4,1,22.1,25,0
-0.83828,0.54524,11.9,23.8,0,17,9.5,-1.83697e-16,-1,22,-1.83697e-16,-1,-0.707107,-0.707107,9,2,43,24,1019,1016.2,0,3,16.7,23,0
-0.847541,0.53073,9.6,23.7,0,3.4,9.4,0.382683,0.92388,20,-0.382683,-0.92388,0.382683,0.92388,6,9,53,43,1024.1,1021.4,1,1,15.8,22,0
-0.856551,0.516062,11.3,24.9,0,2.8,6.1,-0.382683,0.92388,22,-0.707107,-0.707107,-0.382683,0.92388,6,11,64,52,1026.9,1023.6,5,6,16.8,21.8,0
-0.865307,0.501242,15.5,22.4,0,4.4,0,-0.92388,0.382683,19,-0.707107,-0.707107,-0.382683,0.92388,4,7,66,55,1025.9,1022.8,7,7,17.5,21.3,0
-0.873807,0.486273,15.7,20.6,0,3.8,2.1,-0.382683,0.92388,22,-1,1.22465e-16,-0.382683,0.92388,6,7,77,70,1024,1021.2,6,6,18.8,19.7,0
-0.882048,0.47116,15.1,21.2,1.2,1,1.4,0.382683,0.92388,17,-0.382683,-0.92388,-0.382683,0.92388,4,6,84,76,1022.9,1018.4,7,7,17.4,21,1
-0.890028,0.455907,17.4,21.6,48.6,3.2,0,0.707107,0.707107,41,6.12323e-17,1,0.92388,0.382683,19,6,93,88,1010.8,1006,8,8,19.7,21,1
-0.897743,0.440519,14.6,19.5,88.2,2.6,8.2,-1.83697e-16,-1,63,-1.83697e-16,-1,-1.83697e-16,-1,19,26,65,60,1001.1,999.2,1,6,16.8,17.5,1
-0.905193,0.425,14,18.7,0,7.2,5.2,-1.83697e-16,-1,48,-1.83697e-16,-1,-1.83697e-16,-1,13,15,53,48,1007,1005,6,5,15.6,18.3,0
